"state_id","name","population","country_id"
"4b62177f-7eb0-448e-86c1-3e168e44cc29","Alabama",3093781,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8f31ba94-b1ad-4a65-902c-520e8491e1af","Alaska",495250,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"2508241a-0911-48c3-8ee7-ed0c86578b61","Arizona",5828853,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8f58b484-c8b0-4427-8ef8-bd481da61812","Arkansas",2019428,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"55925ec8-b5d5-4895-a3d4-972d9d0ab6f6","California",32733905,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"c5f2980a-293b-460b-9677-9c7e9aaba8a0","Colorado",4329707,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"0bea2631-56bc-424d-814f-dceaa1578d6c","Connecticut",1411207,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"a835cf5c-33a5-4f18-be2b-9e3d888684da","Delaware",284978,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e51aa586-4637-4083-a61c-7a4d0775b5e8","District of Columbia",670050,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"be9f1696-e79f-4749-bbf8-655199d6ceb3","Florida",10903125,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"542d5737-5597-43a1-81af-10da0d0db53c","Georgia",4784139,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"b5d29b14-6976-4024-8925-fa1180475071","Hawaii",345510,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"513f44b3-1355-4b06-9925-bb52305223ec","Idaho",1344668,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"6f5ab341-b6dd-4fc3-ae5a-5570ac34da42","Illinois",11044560,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"b30d0792-9062-400e-bd31-dc4cfc645465","Indiana",4575579,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"439430a1-fef2-42a8-9229-fbdef3c32755","Iowa",2567602,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e8d8b731-7040-44fd-b72d-a57ab05ed0f9","Kansas",2441325,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"b10e0ceb-92c1-4db5-86a7-67e851e840a5","Kentucky",2512009,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8d5b9e24-66de-415d-9ad4-43d4f750704b","Louisiana",2134273,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8da0d508-6033-471c-89e4-e31f4f633847","Maine",386117,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"0e513d93-8e1a-4c16-9360-6be76a9b485a","Maryland",1545903,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e10d1eac-232b-4ec7-b6ce-05be97390f65","Massachusetts",3771671,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"aa24b05d-8801-4098-942a-a39eb753fc90","Michigan",5072155,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"2a24dbc4-039a-4e8d-a157-fd02d1f9799c","Minnesota",4745825,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"40fbb847-1602-4751-a63c-cc54c5d3ef9d","Mississippi",1482622,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"db46bab4-f0dd-4dfd-85c0-b5fc6dec6650","Missouri",4099990,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"7fcc1593-5bbe-473e-842a-e5513f86fba6","Montana",597785,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"7effed95-e3d7-44fa-b623-a7c8b9b0b6c8","Nebraska",1533764,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e35ac953-14f3-4097-8556-529883c75a58","Nevada",1796613,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"c446204d-994a-4693-af7a-4222412d89ee","New Hampshire",437682,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"6bcc9f82-e811-40d2-bf12-0d62eb1eae60","New Jersey",4412085,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"f6914278-b8f9-43f4-8b1c-d5bf53de4dd1","New Mexico",1428798,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"284fb4fb-6deb-4e5c-99b9-933f10c73684","New York",12665299,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e0993077-f21d-43ab-9f18-579becf541d7","North Carolina",6073696,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"d244a435-fccf-40a5-9ffc-611dc5af5ab0","North Dakota",601590,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"c9c81b66-19ca-4e4d-be95-ecc8ec3f6392","Ohio",7647087,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"1120f3da-9085-4d43-b9eb-498c4416e9e5","Oklahoma",3078494,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"1028e1b7-fff0-4024-806a-07947063d515","Oregon",2995516,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"5c55944f-8f90-499a-9c71-36c6e0bc4afc","Pennsylvania",5629102,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"e3972666-bb2d-4137-bb24-137dac54cc52","Rhode Island",568323,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"8dd3b4a6-5153-4737-aa01-75c67f4e01df","South Carolina",1912688,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"3f5cdba5-60e3-48dd-a13c-81435c94f331","South Dakota",642648,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"6f909a47-f580-4617-83ff-8586d505ddd3","Tennessee",4208875,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"9b20f508-3f3e-46e4-97e6-43b30931d720","Texas",21328002,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"ba0218fa-e19a-4be4-9453-3ee3e50245ab","Utah",3121485,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"7282681c-05c8-4622-a66b-ea187dc63de4","Vermont",155339,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"cd791d07-fc05-403b-bb37-c82e98474d00","Virginia",3108820,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"772fe70f-dbc5-4995-92cd-8786426826b5","Washington",5053193,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"a7f22824-c652-42d2-8c21-3133845f734a","West Virginia",608603,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"89697512-cbe2-4ae3-9dff-e93a0b756104","Wisconsin",4281968,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"
"628cad18-0416-40aa-9900-019864a3ab7e","Wyoming",398373,"d4153ed2-91e6-40da-a3c5-1de8a6d0119c"